version,upload_date,GSE_had_PlatformID,reads_GSE_data,platformID_refs_in_GRIP,carries_PlatformID_forward
v1.0.4,2026-03-21,no (GSE had none yet),yes,0,NO
v1.0.5,2026-03-25,no (GSE had none yet),yes,0,NO
v1.0.6,2026-03-25,no (GSE had none yet),yes,0,NO
v1.0.7,2026-03-25,no (GSE had none yet),yes,0,NO
v1.0.8,2026-03-26,no (GSE had none yet),yes,0,NO
v1.0.9,2026-03-26,no (GSE had none yet),yes,0,NO
v1.1.4,2026-03-29,no (GSE had none yet),yes,0,NO
v1.1.5,2026-03-30,no (GSE had none yet),yes,0,NO
v1.1.6,2026-03-30,no (GSE had none yet),yes,0,NO
v1.7.0-beta1,2026-04-02,no (GSE had none yet),yes,0,NO
v1.7.1,2026-04-06,no (GSE had none yet),yes,0,NO
v1.7.2,2026-04-06,no (GSE had none yet),yes,0,NO
v1.7.3,2026-04-06,no (GSE had none yet),yes,0,NO
v1.7.3-hotfix,2026-04-06,no (GSE had none yet),yes,0,NO
v1.8.0,2026-04-07,no (GSE had none yet),yes,0,NO
v1.9.0,2026-04-07,no (GSE had none yet),yes,0,NO
v1.9.1,2026-04-12,no (GSE had none yet),yes,0,NO
v1.9.2,2026-04-13,no (GSE had none yet),yes,0,NO
v1.9.3,2026-04-17,no (GSE had none yet),yes,0,NO
v1.9.4,2026-04-18,no (GSE had none yet),yes,0,NO
v1.9.5,2026-04-18,no (GSE had none yet),yes,0,NO
v1.9.6,2026-04-18,no (GSE had none yet),yes,0,NO
v1.9.7,2026-04-18,no (GSE had none yet),yes,0,NO
v1.9.8,2026-04-18,no (GSE had none yet),yes,0,NO
v1.9.9,2026-04-19,no (GSE had none yet),yes,0,NO
v1.9.10,2026-04-23,no (GSE had none yet),yes,0,NO
v2.0.0,2026-05-02,yes,yes,0,NO
v2.0.1,2026-05-03,yes,yes,0,NO
v2.0.2,2026-05-05,yes,yes,0,NO
v2.0.3,2026-05-09,yes,yes,0,NO
v2.1.0,2026-05-12,yes,yes,0,NO
v2.1.1,2026-05-15,yes,yes,0,NO
v2.1.2,2026-05-16,yes,yes,0,NO
v2.1.3,2026-05-16,yes,yes,0,NO
v2.1.5,2026-05-22,yes,yes,0,NO
v2.1.6,2026-05-22,yes,yes,0,NO
v2.1.7,2026-05-24,yes,yes,0,NO
v2.1.9,2026-05-31,yes,yes,0,NO
v2.1.10,2026-06-03,yes,yes,0,NO
v2.1.11,2026-06-04,yes,yes,0,NO
v2.1.12,2026-06-04,yes,yes,0,NO
v2.1.13,2026-06-04,yes,yes,0,NO
v2.1.14,2026-06-05,yes,yes,0,NO
v2.1.15,2026-06-06,yes,yes,0,NO
v2.1.16,2026-06-06,yes,yes,0,NO
v2.1.17,2026-06-07,yes,yes,0,NO
v2.1.18,2026-06-08,yes,yes,0,NO
v2.1.19,2026-06-11,yes,yes,0,NO
v2.1.20,2026-06-11,yes,yes,0,NO
v2.1.21,2026-06-13,yes,yes,0,NO
v2.1.22,2026-06-14,yes,yes,0,NO
v2.1.23,2026-06-14,yes,yes,0,NO
v2.1.24,2026-06-18,yes,yes,0,NO
v2.1.25,2026-06-20,yes,yes,0,NO
v2.1.26,2026-06-20,yes,yes,0,NO
v2.1.27,2026-06-21,yes,yes,0,NO
v2.1.28,2026-06-21,yes,yes,0,NO
v2.2.0,2026-06-25,yes,yes,0,NO
v2.3.0,2026-06-30,yes,yes,0,NO
v2.3.1,2026-07-01,yes,yes,0,NO
v2.3.2,2026-07-01,yes,yes,0,NO
v2.3.3,2026-07-02,yes,yes,0,NO
v2.3.4,2026-07-03,yes,yes,0,NO
v2.3.5,2026-07-03,yes,yes,0,NO
