version,fileid,http,platformID_refs,import_reads_GSE,import_fields,carries_PlatformID
v1.0.4,7791035,200,0,YES,author+description+specID+updatedAt,NO
v1.0.5,7810265,200,0,YES,author+description+specID+updatedAt,NO
v1.0.6,7810968,200,0,YES,author+description+specID+updatedAt,NO
v1.0.7,7813125,200,0,YES,author+description+specID+updatedAt,NO
v1.0.8,7816409,200,0,YES,author+description+specID+updatedAt,NO
v1.0.9,7817303,200,0,YES,author+description+specID+updatedAt,NO
v1.1.4,7842898,200,0,YES,author+description+specID+updatedAt,NO
v1.1.5,7843909,200,0,YES,author+description+specID+updatedAt,NO
v1.1.6,7846277,200,0,YES,author+description+specID+updatedAt,NO
v1.7.0-beta1,7864646,200,0,YES,author+description+specID+updatedAt,NO
v1.7.1,7882539,200,0,YES,author+description+specID+updatedAt,NO
v1.7.2,7886169,200,0,YES,author+description+specID+updatedAt,NO
v1.7.3,7886926,200,0,YES,author+description+specID+updatedAt,NO
v1.7.3-hotfix,7887024,200,0,YES,author+description+specID+updatedAt,NO
v1.8.0,7888408,200,0,YES,author+description+specID+updatedAt,NO
v1.9.0,7891417,200,0,YES,author+description+specID+updatedAt,NO
v1.9.1,7918661,200,0,YES,author+description+specID+updatedAt,NO
v1.9.2,7923463,200,0,YES,author+description+specID+updatedAt,NO
v1.9.3,7942094,200,0,YES,author+description+specID+updatedAt,NO
v1.9.4,7944936,200,0,YES,author+description+specID+updatedAt,NO
v1.9.5,7945985,200,0,YES,author+description+specID+updatedAt,NO
v1.9.6,7946518,200,0,YES,author+description+specID+updatedAt,NO
v1.9.7,7946892,200,0,YES,author+description+specID+updatedAt,NO
v1.9.8,7947424,200,0,YES,author+description+specID+updatedAt,NO
v1.9.9,7949602,200,0,YES,author+description+specID+updatedAt,NO
v1.9.10,7971254,200,0,YES,author+description+specID+updatedAt,NO
v2.0.0,8028505,200,0,YES,author+description+specID+updatedAt,NO
v2.0.1,8034317,200,0,YES,author+description+specID+updatedAt,NO
v2.0.2,8042821,200,0,YES,author+description+specID+updatedAt,NO
v2.0.3,8064568,200,0,YES,author+description+specID+updatedAt,NO
v2.1.0,8076007,200,0,YES,author+description+specID+updatedAt,NO
v2.1.1,8095057,200,0,YES,author+description+specID+updatedAt,NO
v2.1.2,8098902,200,0,YES,author+description+specID+updatedAt,NO
v2.1.3,8100752,200,0,YES,author+description+specID+updatedAt,NO
v2.1.5,8125479,200,0,YES,author+description+specID+updatedAt,NO
v2.1.6,8128238,200,0,YES,author+description+specID+updatedAt,NO
v2.1.7,8135573,200,0,YES,author+description+specID+updatedAt,NO
v2.1.9,8177681,200,0,YES,author+description+specID+updatedAt,NO
v2.1.10,8190365,200,0,YES,author+description+specID+updatedAt,NO
v2.1.11,8193822,200,0,YES,author+description+specID+updatedAt,NO
v2.1.12,8196549,200,0,YES,author+description+specID+updatedAt,NO
v2.1.13,8198412,200,0,YES,author+description+specID+updatedAt,NO
v2.1.14,8200666,200,0,YES,author+description+specID+updatedAt,NO
v2.1.15,8206880,200,0,YES,author+description+specID+updatedAt,NO
v2.1.16,8208070,200,0,YES,author+description+specID+updatedAt,NO
v2.1.17,8210925,200,0,YES,author+description+specID+updatedAt,NO
v2.1.18,8218726,200,0,YES,author+description+specID+updatedAt,NO
v2.1.19,8229795,200,0,YES,author+description+specID+updatedAt,NO
v2.1.20,8233657,200,0,YES,author+description+specID+updatedAt,NO
v2.1.21,8240096,200,0,YES,author+description+specID+updatedAt,NO
v2.1.22,8244838,200,0,YES,author+description+specID+updatedAt,NO
v2.1.23,8246236,200,0,YES,author+description+specID+updatedAt,NO
v2.1.24,8274368,200,0,YES,author+description+specID+updatedAt,NO
v2.1.25,8285149,200,0,YES,author+description+specID+updatedAt,NO
v2.1.26,8289342,200,0,YES,author+description+specID+updatedAt,NO
v2.1.27,8290745,200,0,YES,author+description+specID+updatedAt,NO
v2.1.28,8297091,200,0,YES,author+description+specID+updatedAt,NO
v2.2.0,8317396,200,0,YES,author+description+specID+updatedAt,NO
v2.3.0,8344908,200,0,YES,author+description+specID+updatedAt,NO
v2.3.1,8349417,200,0,YES,author+description+specID+updatedAt,NO
v2.3.2,8355001,200,0,YES,author+description+specID+updatedAt,NO
v2.3.3,8355508,200,0,YES,author+description+specID+updatedAt,NO
v2.3.4,8363681,200,0,YES,author+description+specID+updatedAt,NO
v2.3.5,8364957,200,0,YES,author+description+specID+updatedAt,NO
